"Zonnestroom; vermogen en vermogensklasse, bedrijven en woningen, regio"
"Sector and asset class: All economic activity and housing"
"";"";"Subject"
"";"";"Installaties";"Opgesteld vermogen van zonnepanelen";"Productie van zonnestroom"
"2023 to Q2*";"Ermelo";"4692";"39104";"."
"2023 to Q2*";"Etten-Leur";"6522";"71046";"."
"2023 to Q2*";"The Fryske Marren";"11996";"93778";"."
"2023 to Q2*";"Geertruidenberg";"3221";"34423";"."
"2023 to Q2*";"Geldrop-Mierlo";"7122";"35402";"."
"2023 to Q2*";"Gemert-Bakel";"6360";"70626";"."
"2023 to Q2*";"Gennep";"3449";"43799";"."
"2023 to Q2*";"Gilze and Rijen";"4099";"35772";"."
"2023 to Q2*";"Goeree-Overflakkee";"11981";"179035";"."
"2023 to Q2*";"Goes";"8609";"52045";"."
"2023 to Q2*";"Goirle";"3766";"28177";"."
"2023 to Q2*";"Gooise Lakes";"5930";"27885";"."
"2023 to Q2*";"Gorinchem";"5301";"31462";"."
"2023 to Q2*";"Gouda";"8879";"38317";"."
"2023 to Q2*";"Grave";"";"";""
"2023 to Q2*";"The Hague (municipality)";"29646";"128717";"."
"2023 to Q2*";"Groningen (municipality)";"33873";"224219";"."
"2023 to Q2*";"Gulpen-Wittem";"2549";"15424";"."
"2023 to Q2*";"Haaksbergen";"4649";"36034";"."
"2023 to Q2*";"Haaren";"";"";""
"2023 to Q2*";"Haarlem";"13878";"57015";"."
"2023 to Q2*";"Haarlemmermeer";"24152";"188532";"."
"2023 to Q2*";"Halderberge";"5507";"57086";"."
"2023 to Q2*";"Hardenberg";"11713";"155518";"."
"2023 to Q2*";"Harderwijk";"7235";"47222";"."
"2023 to Q2*";"Hardinxveld-Giessendam";"3709";"20627";"."
"2023 to Q2*";"Harlingen";"4153";"25433";"."
"2023 to Q2*";"Hattem";"1966";"9933";"."
"2023 to Q2*";"Heemskerk";"6033";"26067";"."
"2023 to Q2*";"Heemstede";"3522";"15218";"."
"2023 to Q2*";"Heerde";"3399";"20694";"."
"2023 to Q2*";"Heerenveen";"9570";"106068";"."
"2023 to Q2*";"Heerhugowaard";"";"";""
"2023 to Q2*";"Heerlen";"10657";"65663";"."
"2023 to Q2*";"Heeze-Leende";"3710";"33719";"."
"2023 to Q2*";"Heiloo";"5662";"22008";"."
"2023 to Q2*";"den Helder";"10571";"78436";"."
"2023 to Q2*";"Hellendoorn";"6920";"50992";"."
"2023 to Q2*";"Hellevoetsluis";"";"";""
"2023 to Q2*";"Helmond";"14650";"79888";"."
"2023 to Q2*";"Hendrik-Ido-Ambacht";"5144";"22162";"."
"2023 to Q2*";"Hengelo (O.)";"11816";"80775";"."
"2023 to Q2*";"'s-Hertogenbosch";"23214";"158202";"."
"2023 to Q2*";"Heumen";"3554";"19424";"."
"2023 to Q2*";"Heusden";"7645";"68247";"."
"2023 to Q2*";"Hillegom";"3475";"21175";"."
"2023 to Q2*";"Hilvarenbeek";"2851";"38692";"."
"2023 to Q2*";"Hilversum";"8926";"37297";"."
"2023 to Q2*";"Hoeksche Waard";"17464";"127080";"."
"2023 to Q2*";"Hof van Twente";"7137";"103173";"."
"2023 to Q2*";"The Highlands";"11676";"131888";"."
"2023 to Q2*";"Dutch Crown";"10139";"180150";"."
"2023 to Q2*";"Hoogeveen";"10912";"218812";"."
"2023 to Q2*";"Horn";"10974";"49752";"."
"2023 to Q2*";"Horst aan de Maas";"10476";"126346";"."
"2023 to Q2*";"Wooden";"9323";"81431";"."
"2023 to Q2*";"Houses";"6704";"26140";"."
"2023 to Q2*";"Holly";"7172";"40309";"."
"2023 to Q2*";"IJsselstein";"4983";"24142";"."
"2023 to Q2*";"Kaag and Braassem";"5976";"33281";"."
"2023 to Q2*";"Struggling";"9039";"82707";"."
"2023 to Q2*";"Kapelle";"3252";"20801";"."
"2023 to Q2*";"Katwijk";"7937";"41266";"."
"2023 to Q2*";"Kerkrade";"8330";"57954";"."
"2023 to Q2*";"Koggenland";"4746";"37343";"."
"2023 to Q2*";"Krimpen aan den IJssel";"3935";"18532";"."
"2023 to Q2*";"Krimpenerwaard";"9841";"61577";"."
"2023 to Q2*";"Laarbeek";"4718";"52392";"."
"2023 to Q2*";"Land of Cuijk";"17768";"183242";"."
"2023 to Q2*";"Landerd";"";"";""
"2023 to Q2*";"Landgraaf";"7105";"46835";"."
"2023 to Q2*";"Landsmeer";"1667";"8162";"."
"2023 to Q2*";"Langedijk";"";"";""
"2023 to Q2*";"Lansingerland";"12770";"124494";"."
"2023 to Q2*";"Laren (NH.)";"860";"4617";"."
"2023 to Q2*";"Leeuwarden";"21133";"162644";"."
"2023 to Q2*";"To lead";"9873";"39939";"."
"2023 to Q2*";"Leiderdorp";"3413";"13927";"."
"2023 to Q2*";"Leidschendam-Voorburg";"6264";"26005";"."
"2023 to Q2*";"Lelystad";"14460";"271376";"."
"2023 to Q2*";"Leudal";"8194";"77095";"."
"2023 to Q2*";"Leusden";"6262";"36081";"."
"2023 to Q2*";"Lingewaard";"10377";"78797";"."
"2023 to Q2*";"Lisse";"4454";"19162";"."
"2023 to Q2*";"Lochem";"6575";"107095";"."
"2023 to Q2*";"Loon op Zand";"3769";"27798";"."
"2023 to Q2*";"Lopik";"2637";"22560";"."
"2023 to Q2*";"Loppersum";"";"";""
"2023 to Q2*";"Looser";"4617";"59970";"."
"2023 to Q2*";"Maasdriel";"5614";"42225";"."
"2023 to Q2*";"Maasgouw";"6059";"31139";"."
"2023 to Q2*";"Maashorst";"12750";"105737";"."
"2023 to Q2*";"Maassluis";"3799";"16954";"."
"2023 to Q2*";"Maastricht";"12802";"83219";"."
"2023 to Q2*";"Medemblik";"9833";"116082";"."
"2023 to Q2*";"Meerssen";"3941";"21284";"."
"2023 to Q2*";"Meierijstad";"17097";"186529";"."
"2023 to Q2*";"Meppel";"6035";"32272";"."
"2023 to Q2*";"Middelburg (Z.)";"9063";"54445";"."
"2023 to Q2*";"Midden-Delfland";"3741";"33231";"."
"2023 to Q2*";"Central Drenthe";"8717";"94954";"."
"2023 to Q2*";"Central Groningen";"14944";"312714";"."
"2023 to Q2*";"Mill and Saint Hubert";"";"";""
"2023 to Q2*";"Moerdijk";"6925";"125428";"."
"2023 to Q2*";"Milllands";"7714";"66095";"."
"2023 to Q2*";"Montferland";"8984";"62451";"."
"2023 to Q2*";"Montfort";"2612";"24830";"."
"2023 to Q2*";"Mook and Middelaar";"1850";"9230";"."
"2023 to Q2*";"Lower Betuwe";"4354";"67239";"."
"2023 to Q2*";"Nederweert";"3960";"52280";"."
"2023 to Q2*";"Nieuwegein";"9099";"68292";"."
"2023 to Q2*";"Nieuwkoop";"4660";"31522";"."
"2023 to Q2*";"Nijkerk";"7960";"62061";"."
"2023 to Q2*";"Nijmegen";"21987";"108554";"."
"2023 to Q2*";"Nissewaard";"13311";"52245";"."
"2023 to Q2*";"Northeast-Fryslân";"10097";"70382";"."
"2023 to Q2*";"North Beveland";"2638";"17620";"."
"2023 to Q2*";"Northfield";"7769";"93180";"."
"2023 to Q2*";"Noordoostpolder";"9735";"178371";"."
"2023 to Q2*";"Noordwijk";"7067";"40993";"."
"2023 to Q2*";"Nuenen, Gerwen and Nederwetten";"4782";"31939";"."
"2023 to Q2*";"Nunspeet";"3947";"26950";"."
"2023 to Q2*";"Oegstgeest";"3711";"17381";"."
"2023 to Q2*";"Oirschot";"3325";"41804";"."
"2023 to Q2*";"Oisterwijk";"4942";"44121";"."
"2023 to Q2*";"Oldambt";"8804";"73272";"."
"2023 to Q2*";"Oldebroek";"4115";"33374";"."
"2023 to Q2*";"Oldenzaal";"5849";"48838";"."
"2023 to Q2*";"Olst-Wijhe";"4352";"39698";"."
"2023 to Q2*";"Ommen";"3641";"36218";"."
"2023 to Q2*";"East Gelre";"5809";"55723";"."
"2023 to Q2*";"Oosterhout";"8914";"70532";"."
"2023 to Q2*";"Ooststellingwerf";"6803";"121814";"."
"2023 to Q2*";"Oostzaan";"1378";"9108";"."
"2023 to Q2*";"More";"2352";"18798";"."
"2023 to Q2*";"Opsterland";"5728";"74293";"."
"2023 to Q2*";"Oss";"17208";"134207";"."
"2023 to Q2*";"Old IJssel region";"7798";"66494";"."
"2023 to Q2*";"Ouder-Amstel";"1877";"11318";"."
"2023 to Q2*";"Oudewater";"1789";"13485";"."
"2023 to Q2*";"Overbetuwe";"8854";"108626";"."
"2023 to Q2*";"Papendrecht";"3968";"19237";"."
"2023 to Q2*";"Peel and Maas";"10898";"121038";"."
"2023 to Q2*";"Pekela";"2386";"99773";"."
"2023 to Q2*";"Pijnacker-Nootdorp";"10760";"56789";"."
"2023 to Q2*";"Purmerend";"11426";"61641";"."
"2023 to Q2*";"Wells";"3787";"37011";"."
"2023 to Q2*";"Raalte";"8990";"74380";"."
"2023 to Q2*";"Reimerswaal";"4901";"60373";"."
"2023 to Q2*";"Renkum";"4409";"21505";"."
"2023 to Q2*";"Renswoude";"1101";"11922";"."
"2023 to Q2*";"Reusel-De Mierden";"2660";"39809";"."
"2023 to Q2*";"Rheden";"5750";"33635";"."
"2023 to Q2*";"Rhenen";"3737";"22036";"."
"2023 to Q2*";"Ridderkerk";"6083";"42448";"."
"2023 to Q2*";"Rijssen-Holten";"6448";"75561";"."
"2023 to Q2*";"Rijswijk (ZH.)";"6364";"23343";"."
"2023 to Q2*";"Roerdalen";"5140";"30632";"."
"2023 to Q2*";"Roermond";"10486";"65354";"."
"2023 to Q2*";"The Round Fens";"8821";"42297";"."
"2023 to Q2*";"Roosendaal";"10691";"126824";"."
"2023 to Q2*";"Rotterdam";"30239";"258035";"."
"2023 to Q2*";"Rozendaal";"382";"2288";"."
"2023 to Q2*";"Rucphen";"3910";"25626";"."
"2023 to Q2*";"Schagen";"9306";"109957";"."
"2023 to Q2*";"Scherpenzeel";"1768";"13245";"."
"2023 to Q2*";"Schiedam";"5195";"25748";"."
"2023 to Q2*";"Schiermonnikoog";"265";"2919";"."
"2023 to Q2*";"Schouwen-Duiveland";"9268";"65709";"."
"2023 to Q2*";"Simpelveld";"1883";"9902";"."
"2023 to Q2*";"Saint Anthony";"";"";""
"2023 to Q2*";"Sint-Michielsgestel";"5864";"41328";"."
"2023 to Q2*";"Sittard-Geleen";"16663";"123781";"."
"2023 to Q2*";"Sliedrecht";"3165";"19346";"."
"2023 to Q2*";"Lock";"5427";"36601";"."
"2023 to Q2*";"Smallingerland";"10603";"78441";"."
"2023 to Q2*";"Soest";"6995";"38744";"."
"2023 to Q2*";"Someren";"4683";"78326";"."
"2023 to Q2*";"Son and Breugel";"3680";"38092";"."
"2023 to Q2*";"City Canal";"5382";"183557";"."
"2023 to Q2*";"Staphorst";"2811";"24798";"."
"2023 to Q2*";"Stede Broec";"4367";"24921";"."
"2023 to Q2*";"Steenbergen";"4715";"39191";"."
"2023 to Q2*";"Steenwijkerland";"7811";"52829";"."
"2023 to Q2*";"Stein (L.)";"5802";"30977";"."
"2023 to Q2*";"Stichtse Vecht";"9388";"48282";"."
"2023 to Q2*";"Súdwest-Fryslân";"17199";"125959";"."
"2023 to Q2*";"Terneuzen";"11531";"217445";"."
"2023 to Q2*";"Terschelling";"941";"6449";"."
"2023 to Q2*";"Texel";"3056";"21756";"."
"2023 to Q2*";"Teylingen";"6609";"38180";"."
"2023 to Q2*";"Tholen";"5929";"59703";"."
"2023 to Q2*";"Tiel";"6284";"45920";"."
"2023 to Q2*";"Tilburg";"28866";"248891";"."
"2023 to Q2*";"Tubbergen";"4065";"45123";"."
"2023 to Q2*";"Twenterand";"5776";"69903";"."
"2023 to Q2*";"Tynaarlo";"8976";"90442";"."
"2023 to Q2*";"Tytsjerksteradiel";"7204";"53730";"."
"2023 to Q2*";"Uden";"";"";""
"2023 to Q2*";"Uitgeest";"3095";"13409";"."
"2023 to Q2*";"Uithoorn";"4755";"30810";"."
"2023 to Q2*";"Urk";"3142";"22032";"."
"2023 to Q2*";"Utrecht (municipality)";"38894";"189286";"."
"2023 to Q2*";"Utrechtse Heuvelrug";"9195";"45980";"."
"2023 to Q2*";"Vaals";"1418";"6281";"."
"2023 to Q2*";"Valkenburg aan de Geul";"2688";"16338";"."
"2023 to Q2*";"Valkenswaard";"6057";"40169";"."
"2023 to Q2*";"Veendam";"5895";"67052";"."
"2023 to Q2*";"Veenendaal";"11779";"58913";"."
"2023 to Q2*";"Veere";"6001";"36969";"."
"2023 to Q2*";"Veldhoven";"8553";"55246";"."
"2023 to Q2*";"Velsen";"6944";"39158";"."
"2023 to Q2*";"Venlo";"20116";"257733";"."
"2023 to Q2*";"Venray";"9951";"120815";"."
"2023 to Q2*";"Vijfheerenlanden";"12276";"74312";"."
"2023 to Q2*";"Vlaardingen";"6243";"26991";"."
"2023 to Q2*";"Vlieland";"346";"3236";"."
"2023 to Q2*";"Vlissingen";"9044";"79195";"."
"2023 to Q2*";"Voerendaal";"2464";"13011";"."
"2023 to Q2*";"Voorne aan Zee";"13374";"67595";"."
"2023 to Q2*";"Voorschoten";"3112";"13278";"."
"2023 to Q2*";"Front";"4397";"99384";"."
"2023 to Q2*";"Vught";"4327";"27298";"."
"2023 to Q2*";"Waadhoeke";"9482";"77267";"."
"2023 to Q2*";"Waalre";"3446";"19846";"."
"2023 to Q2*";"Waalwijk";"6618";"91530";"."
"2023 to Q2*";"Waddinxveen";"5318";"37984";"."
"2023 to Q2*";"Wageningen";"5634";"35463";"."
"2023 to Q2*";"Wassenaar";"2761";"13484";"."
"2023 to Q2*";"Waterland";"2578";"11928";"."
"2023 to Q2*";"Weert";"9772";"91949";"."
"2023 to Q2*";"Weesp";"";"";""
"2023 to Q2*";"West Betuwe";"10687";"108371";"."
"2023 to Q2*";"West Maas and Waal";"4950";"44229";"."
"2023 to Q2*";"Westerkwartier";"14612";"145368";"."
"2023 to Q2*";"Westerveld";"4974";"29288";"."
"2023 to Q2*";"Westervoort";"2352";"10934";"."
"2023 to Q2*";"Westerwolde";"4600";"202743";"."
"2023 to Q2*";"Westland";"19545";"139995";"."
"2023 to Q2*";"Weststellingwerf";"6967";"63909";"."
"2023 to Q2*";"Westvoorne";"";"";""
"2023 to Q2*";"Wierden";"5050";"50002";"."
"2023 to Q2*";"Wijchen";"7433";"66913";"."
"2023 to Q2*";"Wijdemeren";"3678";"28715";"."
"2023 to Q2*";"Neighborhood near Duurstede";"4601";"38125";"."
"2023 to Q2*";"Winterswijk";"5158";"36709";"."
"2023 to Q2*";"Woensdrecht";"3832";"33533";"."
"2023 to Q2*";"Woerden";"9097";"55160";"."
"2023 to Q2*";"The Wolden";"5978";"40540";"."
"2023 to Q2*";"Wormerland";"3007";"15908";"."
"2023 to Q2*";"Woudenberg";"2889";"18563";"."
"2023 to Q2*";"Zaanstad";"16550";"97569";"."
"2023 to Q2*";"Zaltbommel";"5812";"59139";"."
"2023 to Q2*";"Zandvoort";"1178";"4810";"."
"2023 to Q2*";"Zeewolde";"4859";"114074";"."
"2023 to Q2*";"Zeist";"8561";"40427";"."
"2023 to Q2*";"Zevenaar";"7918";"60394";"."
"2023 to Q2*";"Zoetermeer";"16151";"70018";"."
"2023 to Q2*";"Zoeterwoude";"1680";"16866";"."
"2023 to Q2*";"Zuidplas";"8244";"61996";"."
"2023 to Q2*";"Zundert";"3835";"32776";"."
"2023 to Q2*";"Zutphen";"7078";"55428";"."
"2023 to Q2*";"Zwartewaterland";"3618";"37185";"."
"2023 to Q2*";"Zwijndrecht";"5803";"100640";"."
"2023 to Q2*";"Zwolle";"22649";"191008";"."
"2023 to Q2*";"Municipalities; cannot be divided";"445";"28813";"15"
"Bron: CBS"
